,Unnamed: 0,price,location,sqm,extra,text,link,rooms,Épület típusa,Közös költség,Fűtés,Minimum bérlési idő,Berendezés,Emelet,Lift,Kilátás,Erkélyek száma,Min. bérlési idő,Energiatanúsítvány,Ház jellege,Ingatlan állapota,Komfort fokozat,Parkolási lehetőség,Épület szintjei,Rezsi költség,Beköltözhető,Mosógép van,Építés éve,Melegvíz,Konyhai szellőzés,Tájolás,Belmagasság,Közös költségben,Városrész,Különnyíló szoba,Amerikai konyha,Gyermekbarát,Hall,Kisállat,Kábeltévé szolgáltató,Kaució,Diákoknak,Hónapokra is,Bérleti díj hónapokra,Kaució hónapokra,Társasház neve,Dohányzás
221,221,175000,"Holdvilág utca Budapest, XI. kerület",28,"{'Épület típusa': 'Lakás', 'Közös költség': '1 000 Ft/hó', 'Rezsi költség': '1 000 Ft/hó', 'Fűtés': 'Padlófűtés', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-22', 'Berendezés': 'Berendezett, gépesített', 'Emelet': 'Félszuterén', 'Kilátás': 'Udvari', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Kis társasház', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Utcán ingyenes', 'Tájolás': 'Dél', 'Épület szintjei': '4', 'Közös költségben': 'Szemétszállítás'}","
Lakás jellemzők: Zuhanyzó Részletek
Budapest 11. kerületében a BAH csomópontnál kínálunk kiadásra egy FELÚJÍTOTT, 28 nm-es, 1+1 szobás lakást a félszuterén szinten.
Az ingatlan BÚTOROZOTT és GÉPESÍTETT állapotban keresi leendő lakóit. (tűzhely, főzőlap, KISMÉRETŰ hűtőszekrény)

ELOSZTÁS
A 28 nm-es lakásban helyet kapott egy kis konyha rész egy szoba, hálófülke és egy ZUHANYZÓS fürdőszoba.
A lakás a felújítás során kapta jelenlegi formáját, mely alatt a  PADLÓFŰTÉS is kialakításra került.

KÖLTSÉGEK
Közös költség: 14.000 Ft, mely tartalmazza a korlátlan VÍZFOGYASZTÁST
Rezsi: Fogyasztás szerint fizetendő

ELHELYEZKEDÉS
A közlekedési lehetőségek KIVÁLÓAK, karnyújtásnyira van a 108E, 139, 140, 140A, 142-es busz, valamint a 17-es és a 61-es villamos.
Budaörsi, Villány út, Gellérthegy, de a Móricz Zsigmond körtér, Kosztolányi Dezső tér, Újbuda központ, ALLEE, MOM park is egyszerűen és kényelmesen elérhető.

EGYÉB
PADLÓFŰTÉS
Lift nincs!

2 havi kaucióval és az aktuális bérleti díjjal AZONNAL költözhető, minimum 1 éves tartamra!

KERESŐ ÜGYFELEINK SZÁMÁRA SZOLGÁLTATÁSUNK DÍJMENTES!

--

In the 11th district of Budapest, we offer for rent a RENOVATED, 28 sqm, 1+1 room apartment on the semi-basement level at the BAH junction.
The property is looking for its future residents in a FURNISHED and FURNISHED condition. (stove, hob, SMALL fridge)

DISTRIBUTION
The 28 sqm apartment has a small kitchen area, a room, a bedroom and a bathroom with a SHOWER.
The apartment got its current form during the renovation, during which FLOOR HEATING was also installed.

EXPENDITURES
Total cost: HUF 14,000, which includes unlimited WATER CONSUMPTION
Utilities: Payable according to consumption

LOCATION
The transport options are EXCELLENT, the 108E, 139, 140, 140A, 142 bus, as well as the 17 and 61 trams are within easy reach.
Budaörsi, Villány út, Gellérthegy, but Móricz Zsigmond körtér, Kosztolányi Dezső tér, Újbuda center, ALLEE, MOM park are also easily and conveniently accessible.

OTHER
FLOOR HEATING
There is no elevator!

You can move IMMEDIATELY with a 2-month deposit and the current rent, for a minimum period of 1 year!

OUR SERVICE IS FREE FOR OUR SEARCHING CUSTOMERS!
",https://www.alberlet.hu/kiado_alberlet/budapest-XI-kerulet-holdvilag-utca-28m2-2-szoba_744886,1.5,Lakás,1 000 Ft/hó,Padlófűtés,Legalább 1 év,"Berendezett, gépesített",Félszuterén,,Udvari,,Legalább 1 év,Nem adott,Kis társasház,Felújított,Összkomfortos,Utcán ingyenes,4,1 000 Ft/hó,2024-04-22,,,,,Dél,,Szemétszállítás,,,,,,,,,,,,,,
222,222,710000,"Cserje utca Budapest, II. kerület",100,"{'Épület típusa': 'Lakás', 'Városrész': 'Vérhalom', 'Fűtés': 'Cirkó', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2023-10-01', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '2', 'Emelet': '1', 'Kilátás': 'Kertre néző', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Kisállat': 'Igen', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Bauhaus', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Duplakomfortos', 'Parkolási lehetőség': 'Telken parkoló', 'Épület szintjei': '2', 'Közös költségben': 'Parkfenntartás, Szemétszállítás'}","
Lakás jellemzők: Fürdőkád, Terasz, Redőny Részletek
Vérhalom térnél 2 lakásos Bauhaus jellegű felújított villaházban minimum egy évre kiadó 1. emeleti 100 nm-es 3 + 1 félszobás, nagy erkélyes lakás. Nappali, erkély szép kilátással, 2 vagy 3 hálószoba, külön konyha, kádas fürdőszoba wc-vel, vendégmosdó. Bútorozott és gépesített. Egy gépkocsi részére udvari beálló az árban. A közös költség tartalmazza a kertrendezést és a szemétszállítást. Rezsi fogyasztás szerint fizetendő. Macska nem hozható. Egy kistestű kutya (max. 5 kg) tartható a lakásban, a kertbe jöhet 2 nagyobb kutya is (van kennel). Közös használatú 1100 nm-es parkosított kert. A környéken kiváló tömegközlekedés és infrastruktúra. 11-es és 91-es busz megállója pár perc sétára. Rózsakert bevásárló központ 1 km-re. 2 havi kaució szükséges.
",https://www.alberlet.hu/kiado_alberlet/budapest-II-kerulet-cserje-utca-100m2-4-szoba_734866,3.5,Lakás,,Cirkó,Legalább 1 év,"Berendezett, gépesített",1,,Kertre néző,1,Legalább 1 év,Nem adott,Bauhaus,Felújított,Duplakomfortos,Telken parkoló,2,,2023-10-01,Igen,,,,,,"Parkfenntartás, Szemétszállítás",Vérhalom,2,,,,Igen,,,,,,,,
223,223,625000,"Délibáb utca Budapest, VI. kerület",97,"{'Épület típusa': 'Lakás', 'Városrész': 'Terézváros', 'Közös költség': '32 000 Ft/hó', 'Rezsi költség': '36 000 Ft/hó', 'Fűtés': 'Cirkó', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-01', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '2', 'Emelet': '2', 'Kilátás': 'Utcai', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Összkomfortos', 'Épület szintjei': '3'}","
Részletek

A VI. kerületi Délibáb utcában, a diplomata negyed szívében, a Hősök tere és a Városliget mellett, egy 3 szintes lift nélküli társasház 2. emeletén kiadó ez a különleges hangulatú, 97 m2-es, 4 szobás, erkélyes luxus lakás.

EXTRÁK: kézzel faragott márvány kandalló, mely a nappali központi eleme, okos TV,
mindenhol, padlótól a mennyezetig carrarai márvánnyal burkolt falak és padlók (fűtött), süllyesztett öbölvilágítás minden szobában, kristály és bronz csillárok

Teljeskörűen berendezett és gépesített, illetve klímával felszerelt.

MINIMUM 1 ÉVRE, 2 havi kaucióval és az első havi bérleti díjjal költözhető
",https://www.alberlet.hu/kiado_alberlet/budapest-VI-kerulet-delibab-utca-97m2-4-szoba_744378,4.0,Lakás,32 000 Ft/hó,Cirkó,Legalább 1 év,"Berendezett, gépesített",2,,Utcai,,Legalább 1 év,Nem adott,,Felújított,Összkomfortos,,3,36 000 Ft/hó,2024-04-01,,,,,,,,Terézváros,2,,,,,,,,,,,,
224,224,200000,"Frankel Leó út Budapest, II. kerület",40,"{'Épület típusa': 'Lakás', 'Közös költség': '20 000 Ft/hó', 'Fűtés': 'Cirkó', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-07', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '1', 'Lift': 'Van', 'Kilátás': 'Utcai, csendes', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ingatlan állapota': 'Jó', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Tájolás': 'Kelet'}","
Lakás jellemzők: Galéria Részletek
Hosszútávra kiadó a II. kerületben, a Frankel Leó utcában egy 40 nm-es, 1 szobás lakás.

Az ingatlan JÓ ÁLLAPOTÚ, BÚTOROZOTT, GÉPESÍTETT.
Szobája ERKÉLYES(6 nm), GALÉRIÁZOTT, világos, tágas, utcára néző kilátással.
A fürdőszoba(kádas) és a mellékhelyiség külön légtérben található.

Közös költség 20.000 Ft/hó.

Elhelyezkedése kiváló, rövid sétatávolságon belül elérhető a H5-ös hév, 4-6, 17, 19, 41-es villamos, 9, 11, 26-os busz.

2 havi kaució és egy havi lakbér ellenében AZONNAL költözhető.


",https://www.alberlet.hu/kiado_alberlet/budapest-II-kerulet-frankel-leo-ut-40m2-1-szoba_744156,1.0,Lakás,20 000 Ft/hó,Cirkó,Legalább 1 év,"Berendezett, gépesített",1,Van,"Utcai, csendes",1,Legalább 1 év,Nem adott,,Jó,Összkomfortos,Fizetős parkoló övezet,,,2024-04-07,,,,,Kelet,,,,,,,,,,,,,,,,
225,225,320000,"Bakáts tér Budapest, IX. kerület",102,"{'Épület típusa': 'Lakás', 'Fűtés': 'Cirkó', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '4', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Társasház', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Épület szintjei': '4'}","
Részletek
IX. ker B A K Á T S  TÉREN kiadó 102 nm-es, 3 szobás, negyedik emeleti két szintes bútorozott lakás. Az alsó szinten előszoba, konyha, étkező, WC, fürdőszoba, két szoba, két gardróbszoba, az emeleten a teljes szinten nappali található. 
2005 évben készült el a teljes tetőtér beépítés, megfelelő minőségű és mennyiségű szigeteléssel, így a kedvezményes árú energia felhasználását nem haladta meg a lakás. Egyedi mérőkkel rendelkező klímatizált jó állapotú az ingatlan.
Kisállat nem hozható!

Az ingatlan minimum 1 évre kiadó 2 havi kaucióval.
Bérleti díj: 320 000 Ft/hó
Hétvégén  is hívhat!


",https://www.alberlet.hu/kiado_alberlet/budapest-IX-kerulet-bakats-ter-102m2-3-szoba_740035,3.0,Lakás,,Cirkó,Legalább 1 év,"Berendezett, gépesített",4,Van,Panorámás,,Legalább 1 év,Nem adott,Társasház,,Összkomfortos,Fizetős parkoló övezet,4,,,,,,,,,,,,,,,,,,,,,,,
226,226,650000,"Turóc utca Budapest, XIII. kerület",70,"{'Épület típusa': 'Lakás', 'Városrész': 'Vizafogó – Marinapart', 'Közös költség': '39 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-01', 'Berendezés': 'Berendezett, üresen is', 'Különnyíló szoba': '2', 'Emelet': '4', 'Lift': 'Van', 'Kilátás': 'Dunai', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Gyermekbarát': 'Igen', 'Kisállat': 'Igen', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2000 után épült (Újszerű)', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Mélygarázs', 'Tájolás': 'Északnyugat', 'Épület szintjei': '9', 'Közös költségben': 'Épület takarítás, Szemétszállítás, Lift üzemeltetés'}","
Felszereltség: Infraszauna, Klíma Részletek
DUNAI PANORÁMÁS NAGY TERASZOS (50 M2) MARINA PARTI LAKÁS KIADÓ!!!

Április 1-től hosszú távra kiadó a XIII. kerület Turóc utcában egy 70 m2-es, 4.emeleti, panorámás, 2 + 1 félszobás lakás.
A 4. emeleten elhelyezkedő lakás nyugati tájolású, így minden nap látványos naplementével zárul. 
A kilátás lélegzetelállító: a Duna folyóra és a festői budai hegyekre nyílik.
A műfűvel borított és infraszaunával ellátott 53 m2-es terasz szuper lehetőséget nyújt a pihenésre és a szórakozásra. A teraszról közvetlen, teljes panorámás kilátás nyílik a folyóra és a hegyekre, idilli hátteret teremtve mind a csendes reggelekhez, mind az elegáns estékhez.
A lakás bútorozott, de megbeszélés tárgy a bútorzat. Gépesített beépített nagy hűtőszekrény, a fürdőszobában pedig mosó- és szárítógép található. 
A központi légkondicionálás nyáron kellemes klímát biztosít.
Bérleti díj: 650.000 Ft + rezsi
2 havi kaució szükséges!
",https://www.alberlet.hu/kiado_alberlet/budapest-XIII-kerulet-turoc-utca-70m2-3-szoba_742805,2.5,Lakás,39 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, üresen is",4,Van,Dunai,1,Legalább 1 év,Nem adott,2000 után épült (Újszerű),Kiváló,Összkomfortos,Mélygarázs,9,,2024-04-01,Igen,,,,Északnyugat,,"Épület takarítás, Szemétszállítás, Lift üzemeltetés",Vizafogó – Marinapart,2,Van,Igen,,Igen,,,,,,,,
227,227,320000,"Sólyatér  Budapest, XIII. kerület",45,"{'Épület típusa': 'Lakás', 'Városrész': 'Angyalföld', 'Közös költség': '12 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-03-30', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '1', 'Emelet': '7', 'Lift': 'Van', 'Kilátás': 'Udvari, világos', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2018 után épült (Újépítésű)', 'Ingatlan állapota': 'Kiváló', 'Parkolási lehetőség': 'Mélygarázs', 'Épület szintjei': '8'}","
Részletek
Kiadó a XIII. kerület, Sólyatér utcában 2 szobás, BÚTOZOTT, GÉPESÍTETT, 45 NM-ES LAKÁS!

Az ingatlan 2021-ben épült ÚJ ÉPÍTÉSŰ TÁRSASHÁZBAN Marina parton, a Cordia által épített MARINA PORTSIDE házban a 7. emeleten található.
Fűtése házközponti egyedi mérőórákkal felszerelve illetve KLÍMA is van a lakásban.

Fürdő wc egy helyiségben található.
Ablakai udvarra néznek.

Gépesített konyhával (indukciós főzőlappal, beépített hűtővel, mosogatógéppel).

TERE,GARÁZS A LAKÁSHOZ BÉRELHETŐ: 25.000 Ft/hó összegért.

Kiváló elhelyezkedés közelben a Duna Plaza gyalog 3 perc, az épület közvetlen közelében számos pékség, kávézó, kozmetika, étterem található. A Duna Aréna és a Dagály fürdő 10 percre van a lakástól.
M3-as metró, 15-ös busz.

2 havi kaucióval és egy havi bérleti díjnak megfelelő összeggel AZONNAL KÖLTÖZHETŐ!
Keressen bizalommal!
",https://www.alberlet.hu/kiado_alberlet/budapest-XIII-kerulet-solyater--45m2-2-szoba_744695,2.0,Lakás,12 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",7,Van,"Udvari, világos",1,Legalább 1 év,Nem adott,2018 után épült (Újépítésű),Kiváló,,Mélygarázs,8,,2024-03-30,,,,,,,,Angyalföld,1,Van,,,,,,,,,,,
228,228,1143000,"Selyemakác utca Budapest, II. kerület",220,"{'Épület típusa': 'Lakás', 'Városrész': 'Szépvölgy', 'Közös költség': '48 000 Ft/hó', 'Rezsi költség': '50 000 Ft/hó', 'Fűtés': 'Cirkó', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2023-09-26', 'Berendezés': 'Részben berendezett', 'Emelet': 'Földszint', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2000 után épült (Újszerű)', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Triplakomfortos', 'Konyhai szellőzés': 'Elszívó és ablak', 'Parkolási lehetőség': 'Zárható garázs', 'Közös költségben': 'Épület takarítás, Parkfenntartás, Portaszolgálat, Szemétszállítás'}","
Lakás jellemzők: Fürdőkád, Kertkapcsolat, Zuhanyzó, Biztonsági ajtó, Redőny, Szúnyogháló, Privát fürdőszoba Épület jellemzők: Belsőkert Felszereltség: 2 garázs, 3 fürdő Részletek
Exkluzív lakóparkban kiadó ingatlan, mely Budán, a II. kerületben, a Szépvölgyi út közelében található. A páratlan panorámájú telek a Hármashatár-hegyen, egy természetvédelmi terület szélén húzódik. A parkot övező gyönyörű erdő kiránduló útjaival és tisztásaival kellemes kikapcsolódásra ad lehetőséget a szép környezetre vágyó bérlőknek. Különösen ideális a környezet gyermekes családok részére.

Az igényesen kialakított házak csendes zöldövezetben teljes kényelmet és a 24 órás őrző-védő szolgálattal biztonságot nyújtanak bérlőinknek.

A Lakópark 13 db exkluzív kétszintes, mélygarázsos házból áll (tágas, jó elrendezésű helyiségekkel)

A jelenleg bérelhető  ház 220 m² alapterületű, remek elosztású: konyha, étkező, tágas nappali, 3 db hálószoba, 3 fürdőszoba toalettel, vendégmosdó, tároló, dolgozószoba, mosókonyha és garázs 2 gépkocsi számára.
A házhoz önálló kertrész tartozik.
Klímával felszerelt.

A kertek gondozására, a hó eltakarítására és a kisebb javítások elvégzésére gondnoki szolgálat áll rendelkezésre.

Bérleti díj: 2.200,- EUR/hó + ÁFA/lakás
+ közös költség 100,- EUR/hó + ÁFA/lakás
+ rezsi költség mérőórák alapján/lakás

House for rent in an amazing environment
Exclusive residential buildings with 24 house reception and security.
Located in district 2, near Szépvölgyi út, beautiful green environment and fresh air. Excellent choice for families.
The house is 220 sqm, it has got 3 floors with great layout:
On the groundfloor full equipped kitchen, living room, guest toilet and workroom, on the 1st floor 3 bedrooms, 3 bathrooms with toilet, walk in wardrobe, downstairs there are 2 garages and a laundry room.
The house is air conditioned.
Private garden belong to the house.

Gardener and maintenance for small repairs are available.

Rental fee is 2200 EUR+VAT
Common cost is 100 EUR+VAT
Utilities: according to consumption 

Available immediately.
",https://www.alberlet.hu/kiado_alberlet/budapest-II-kerulet-selyemakac-utca-220m2-4-szoba_731028,4.0,Lakás,48 000 Ft/hó,Cirkó,Legalább 1 év,Részben berendezett,Földszint,,Panorámás,1,Legalább 1 év,Nem adott,2000 után épült (Újszerű),Kiváló,Triplakomfortos,Zárható garázs,,50 000 Ft/hó,2023-09-26,Igen,,,Elszívó és ablak,,,"Épület takarítás, Parkfenntartás, Portaszolgálat, Szemétszállítás",Szépvölgy,,,,,,,,,,,,,
229,229,750000,"Víg utca Budapest, VIII. kerület",112,"{'Épület típusa': 'Lakás', 'Városrész': 'Józsefváros – Csarnoknegyed', 'Közös költség': '50 000 Ft/hó', 'Rezsi költség': '30 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '3', 'Emelet': '6', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Gyermekbarát': 'Igen', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2000 után épült (Újszerű)', 'Építés éve': '2017', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Duplakomfortos', 'Melegvíz': 'Házközponti egyedi mérővel', 'Konyhai szellőzés': 'Elszívó és ablak', 'Parkolási lehetőség': 'Mélygarázs', 'Tájolás': 'Dél', 'Épület szintjei': '6', 'Közös költségben': 'Épület takarítás, Szemétszállítás, Lift üzemeltetés'}","
Lakás jellemzők: Fürdőkád, Külön WC, Mosogatógép, Terasz, Zárható szobaajtó, Zuhanyzó, Penthouse, Biztonsági ajtó, Redőny, Műanyag ablak Épület jellemzők: Elektromos garázskapu, Tetőkert Felszereltség: 2 garázs, 2 fürdő, Belsőépítész munkája, Fürdő ablakkal, Fűtött garázs, Klíma, Nagy terasz, Riasztó, Szauna, Finn szauna Részletek
Eladó vagy kiadó bruttó 112nm+2nm erkély+76nm tetőteraszos, három hálószobás lakás a Rákóczi téren 2024. augusztus 1-jétől.

A 6. emeleti lakáshoz tartozik egy külön nyíló 8nm-es tároló a 6. emeleten, egy 6 nm-es tároló a -1. szinten, és kettő darab nagyméretű parkoló a -1. szinten. A parkolóhelyek közvetlen szomszédjában lévő lift a lakás bejárata mellé érkezik, így a kocsiból kiszállva csupán pár lépést kell megtennünk, hogy haza érkezzünk.

A lakás új építésű, 2017. áprilisában lett használatba véve, energetikai besorolása CC (HET-00501289). A fűtésről és a lakásban keringetett melegvízről házközponti gázkazán gondoskodik. A hűtésről négy darab Daikin Emura beltéri és a hozzájuk tartozó két kültéri egység felel. Az ingatlannak nincsen szomszédokkal érintkező oldalfala, központi része az 55nm-es, tágas nappali, étkező és konyha, két fő számára kialakított otthoni irodasarokkal. A három darab déli tájolású, és két darab keleti tájolású tetőtéri ablaknak köszönhetően ez az élettér páratlan benapozottságú. Az ablakok külső hővédő rolóval, fényvisszaverő fóliával és belső rolóval is el vannak látva. Két hálószoba gyerekszobának került berendezésre, ezen felül van egy erkélyes szülői háló. Az egyik gyerekszoba igény szerint egyszerűen alakítható dolgozószobává. A tetőtéri ablakos gyerekszobába belül fényzáró roló került elhelyezésre, a többi szobában alumínium redőny található.

Két fürdőszoba került kialakításra, az egyikben kád, a másikban zuhanyzó található. A fürdőkbe prémium Grohe csaptelepek, Laufen szaniterek, bidéfunkciós WC-k kerültek.

A lakásban számos praktikus tároló került kialakításra, a villanykapcsolók logikus elhelyezéséről, a helyiségek és közlekedők kialakításáról, a teljes bútorzat megtervezéséről belső építész gondoskodott. Az egyedi tervezésű és gyártású bútorok (festett, tömör tölgy, laminált bútorlap, prémium, bemart fogantyúk) a lakás részét képezik, ahogy a konyhai és fürdőszobai gépek, illetve számos műszaki eszköz is, melyek kifejezetten a lakáshoz lettek tervezve és vásárolva.

A konyhába és a fürdőszobába prémium Miele készülékek kerültek beépítésre (80cm-es indukciós lap, gőzpároló, mosogatógép, mikró, pirolitikus sütő, hűtő, fagyasztó, mosógép, szárítógép). A mosogató alá ipari célú Grohe Blue Professional készülék került elhelyezésre, mely a mosogató csaptelepén keresztül szolgáltat hűtött és szűrt vizet és szódát. A lakás részét képezi két falra szerelt, nagy méretű QLED televízió.

A lakás minden helyiségébe CAT5e kábelezés és párhuzamos coax kábelezés került, a gyengeáramú központ az előszobai álmennyezet alá került elhelyezésre, ide fut be az optikai kábel, így a lakásban az internetes hálózat stabilan 2Gbit/sec sebességű.

A nappaliból vezet fel a lépcső a saját 76nm-es tetőteraszra, ahol a felület fele műfűvel fedett, a másik fele WPC burkolattal van ellátva. A teraszhoz tartozik egy kerti zuhanyzó, egy pezsgőfürdő, egy vörös cédrus burkolatú panorámaszauna, egy nagy méretű asztal székekkel, egy hatégős gázgrill és egy rattan ülőgarnitúra. A teraszon egy három darabból álló napvitorlarendszer került kiépítésre.

Az ingatlan vételára parkolókkal, tárolókkal, bútorzattal, és valamennyi felsorolt géppel 250MFt. A lakás igény szerint bérelhető 2024. augusztus 1-jétől. Bérelni minimum kétéves fix szerződéssel, kiköltözési nyilatkozattal, háromhavi kaucióval lehet a két parkolóval és a tárolókkal együtt havi 750.000Ft+rezsi ellenében. 
Környék: Blaha Lujza tér, Corvin negyed
Közlekedés: 4-es 6-os villamos, Metro 4
",https://www.alberlet.hu/kiado_alberlet/budapest-VIII-kerulet-vig-utca-112m2-4-szoba_744698,4.0,Lakás,50 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",6,Van,Panorámás,1,Legalább 1 év,Nem adott,2000 után épült (Újszerű),Kiváló,Duplakomfortos,Mélygarázs,6,30 000 Ft/hó,,Igen,2017,Házközponti egyedi mérővel,Elszívó és ablak,Dél,,"Épület takarítás, Szemétszállítás, Lift üzemeltetés",Józsefváros – Csarnoknegyed,3,Van,Igen,,,,,,,,,,
230,230,430000,"Szentkirályi utca Budapest, VIII. kerület",90,"{'Épület típusa': 'Lakás', 'Városrész': 'Józsefváros – Csarnoknegyed', 'Közös költség': '15 000 Ft/hó', 'Rezsi költség': '20 000 Ft/hó', 'Fűtés': 'Cirkó', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '2', 'Emelet': '5', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Gyermekbarát': 'Igen', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Klasszikus (1950 előtt épült)', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Összkomfortos', 'Melegvíz': 'Kombi cirkóról', 'Konyhai szellőzés': 'Elszívó', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Épület szintjei': '6', 'Közös költségben': 'Épület takarítás, Parkfenntartás, Szemétszállítás, Lift üzemeltetés'}","
Lakás jellemzők: Fürdőkád, Külön WC, Mosogatógép, Nagy belmagasság, Terasz, Zárható szobaajtó, Duplex, Biztonsági ajtó, Műanyag ablak Épület jellemzők: Felújított homlokzat, Felújított lépcsőház, Közelben parkolóház Felszereltség: Klíma, Nagy terasz, Riasztó, Sarokkád Részletek
Palotanegyedben, pár percre az Astoriától és a Kálvin tértől, belső 2 szintes, panorámás lakás kiadó.
Az alsó szinten található egy kisebb hálószoba(9 m2), fürdő WC-vel, konyha és nagy nappali(35 m2).
A felső szinten egy nagy hálószoba(26 m2) van külön WC-vel és mosdóval. Itt van a kijárat a teraszra is.
Légkondicionáló, mosógép, mosogatógép és gépesített konyha található a lakásban.
Alacsony rezsi és közös költség.

Bérleti díj: 430000 Ft/hó + Rezsi
Környék: Kálvin tér, Nagykörúton belül
Közlekedés: 4-es 6-os villamos, Metro 2 piros
",https://www.alberlet.hu/kiado_alberlet/budapest-VIII-kerulet-szentkiralyi-utca-90m2-3-szoba_732156,3.0,Lakás,15 000 Ft/hó,Cirkó,,"Berendezett, gépesített",5,Van,Panorámás,1,,Nem adott,Klasszikus (1950 előtt épült),Kiváló,Összkomfortos,Fizetős parkoló övezet,6,20 000 Ft/hó,,Igen,,Kombi cirkóról,Elszívó,,,"Épület takarítás, Parkfenntartás, Szemétszállítás, Lift üzemeltetés",Józsefváros – Csarnoknegyed,2,Van,Igen,,,,,,,,,,
